,cate,cate_flag,price_9,price_8,price_7,price_6,price_5,price_4,price_3,price_2,price_1,amount_7,amount_6,amount_5,amount_4,amount_3,amount_2,amount_1,wt_7,wt_6,wt_5,wt_4,wt_3,wt_2,wt_1,date
1,冬瓜,14,10.309366026065828,9.198025293987131,10.520446096654275,11.570155393053017,9.00079197465681,13.022186365469944,12.194730077120823,8.478822532825076,10.147153865274671,792.4,506.31,1022.85,645.6399999999999,379.5,800.7400000000001,816.44,75.32,43.76,113.64,49.58,31.12,94.44,80.46,2020-06-30
27,冬瓜,14,9.198025293987131,10.520446096654275,11.570155393053017,9.00079197465681,13.022186365469944,12.194730077120823,8.478822532825076,10.147153865274671,7.654328150382919,506.31,1022.85,645.6399999999999,379.5,800.7400000000001,816.44,659.65,43.76,113.64,49.58,31.12,94.44,80.46,86.18,2020-07-01
53,冬瓜,14,10.520446096654275,11.570155393053017,9.00079197465681,13.022186365469944,12.194730077120823,8.478822532825076,10.147153865274671,7.654328150382919,6.7734084880636605,1022.85,645.6399999999999,379.5,800.7400000000001,816.44,659.65,1021.4300000000003,113.64,49.58,31.12,94.44,80.46,86.18,150.8,2020-07-02
79,冬瓜,14,11.570155393053017,9.00079197465681,13.022186365469944,12.194730077120823,8.478822532825076,10.147153865274671,7.654328150382919,6.7734084880636605,6.930425285879482,645.6399999999999,379.5,800.7400000000001,816.44,659.65,1021.4300000000003,1078.79,49.58,31.12,94.44,80.46,86.18,150.8,155.66,2020-07-03
105,冬瓜,14,9.00079197465681,13.022186365469944,12.194730077120823,8.478822532825076,10.147153865274671,7.654328150382919,6.7734084880636605,6.930425285879482,8.133441193021946,379.5,800.7400000000001,816.44,659.65,1021.4300000000003,1078.79,1156.2500000000002,31.12,94.44,80.46,86.18,150.8,155.66,142.16,2020-07-04
131,冬瓜,14,13.022186365469944,12.194730077120823,8.478822532825076,10.147153865274671,7.654328150382919,6.7734084880636605,6.930425285879482,8.133441193021946,9.995189223861454,800.7400000000001,816.44,659.65,1021.4300000000003,1078.79,1156.2500000000002,623.3000000000002,94.44,80.46,86.18,150.8,155.66,142.16,62.36,2020-07-05
157,冬瓜,14,12.194730077120823,8.478822532825076,10.147153865274671,7.654328150382919,6.7734084880636605,6.930425285879482,8.133441193021946,9.995189223861454,7.722843685604946,816.44,659.65,1021.4300000000003,1078.79,1156.2500000000002,623.3000000000002,524.69,80.46,86.18,150.8,155.66,142.16,62.36,67.94,2020-07-06
183,冬瓜,14,8.478822532825076,10.147153865274671,7.654328150382919,6.7734084880636605,6.930425285879482,8.133441193021946,9.995189223861454,7.722843685604946,8.207044673539517,659.65,1021.4300000000003,1078.79,1156.2500000000002,623.3000000000002,524.69,477.65,86.18,150.8,155.66,142.16,62.36,67.94,58.2,2020-07-07
209,冬瓜,14,10.147153865274671,7.654328150382919,6.7734084880636605,6.930425285879482,8.133441193021946,9.995189223861454,7.722843685604946,8.207044673539517,7.109256559766762,1021.4300000000003,1078.79,1156.2500000000002,623.3000000000002,524.69,477.65,975.39,150.8,155.66,142.16,62.36,67.94,58.2,137.2,2020-07-08
235,冬瓜,14,7.654328150382919,6.7734084880636605,6.930425285879482,8.133441193021946,9.995189223861454,7.722843685604946,8.207044673539517,7.109256559766762,7.889446554530656,1078.79,1156.2500000000002,623.3000000000002,524.69,477.65,975.39,581.61,155.66,142.16,62.36,67.94,58.2,137.2,73.72,2020-07-09
261,冬瓜,14,6.7734084880636605,6.930425285879482,8.133441193021946,9.995189223861454,7.722843685604946,8.207044673539517,7.109256559766762,7.889446554530656,7.840161512704352,1156.2500000000002,623.3000000000002,524.69,477.65,975.39,581.61,796.0899999999998,142.16,62.36,67.94,58.2,137.2,73.72,101.54,2020-07-10
287,冬瓜,14,6.930425285879482,8.133441193021946,9.995189223861454,7.722843685604946,8.207044673539517,7.109256559766762,7.889446554530656,7.840161512704352,6.615211152111522,623.3000000000002,524.69,477.65,975.39,581.61,796.0899999999998,645.38,62.36,67.94,58.2,137.2,73.72,101.54,97.56,2020-07-11
313,冬瓜,14,8.133441193021946,9.995189223861454,7.722843685604946,8.207044673539517,7.109256559766762,7.889446554530656,7.840161512704352,6.615211152111522,8.688748019017433,524.69,477.65,975.39,581.61,796.0899999999998,645.38,548.26,67.94,58.2,137.2,73.72,101.54,97.56,63.1,2020-07-12
339,冬瓜,14,9.995189223861454,7.722843685604946,8.207044673539517,7.109256559766762,7.889446554530656,7.840161512704352,6.615211152111522,8.688748019017433,6.637288135593221,477.65,975.39,581.61,796.0899999999998,645.38,548.26,430.7600000000001,58.2,137.2,73.72,101.54,97.56,63.1,64.9,2020-07-13
365,冬瓜,14,7.722843685604946,8.207044673539517,7.109256559766762,7.889446554530656,7.840161512704352,6.615211152111522,8.688748019017433,6.637288135593221,6.2255377477857445,975.39,581.61,796.0899999999998,645.38,548.26,430.7600000000001,590.4300000000002,137.2,73.72,101.54,97.56,63.1,64.9,94.84,2020-07-14
391,冬瓜,14,8.207044673539517,7.109256559766762,7.889446554530656,7.840161512704352,6.615211152111522,8.688748019017433,6.637288135593221,6.2255377477857445,6.7197950377561995,581.61,796.0899999999998,645.38,548.26,430.7600000000001,590.4300000000002,747.5099999999996,73.72,101.54,97.56,63.1,64.9,94.84,111.24,2020-07-15
